u,v,mismatches,fallback,region,pinned,rounds,pops,changed,insert_us,error
5600,31696,0,0,0,0,0,0,0,1.0,
540,4515,0,0,378,18666,1,1984,3,2020424.0,
14,2334,0,0,0,0,0,0,0,5.0,
121,7308,0,0,0,0,0,0,0,30.0,
17234,51565,0,0,0,0,0,0,0,2.0,
8073,10504,0,0,0,0,0,0,0,6.0,
98,1222,0,0,2,492,1,310,1,1738346.0,
566,28015,0,0,0,0,0,0,0,2.0,
114,16721,0,0,333,17425,1,4104,1,2027031.0,
41,651,0,0,971,27322,1,4652,8,1444429.0,
1174,3551,0,0,1491,31085,1,4221,31,1612020.0,
121,4467,0,0,0,0,0,0,0,6.0,
3411,6605,0,0,2,182,1,6,1,1128787.0,
611,1960,0,0,1218,29846,1,3937,25,1871663.0,
785,3104,0,0,973,27341,1,1556,9,1932844.0,
11329,17142,0,0,2,49,1,24,1,1766791.0,
2895,7642,0,0,0,0,0,0,0,7.0,
529,20639,0,0,0,0,0,0,0,5.0,
3981,4203,0,0,0,0,0,0,0,2.0,
237,11780,0,0,0,0,0,0,0,7.0,
20897,25231,0,0,4,83,1,6,3,1704207.0,
4864,5157,0,0,10,1339,1,655,1,1151413.0,
4971,12188,0,0,721,24155,1,3297,2,1898642.0,
2720,3842,0,0,920,26931,1,5766,1,1683083.0,
628,4163,0,0,0,0,0,0,0,2.0,
2723,5909,0,0,2,195,1,2,1,1228994.0,
1992,12734,0,0,1194,29492,1,1349,1,1717613.0,
445,5462,0,0,0,0,0,0,0,1.0,
159,1867,0,0,1277,29994,1,5759,69,1787483.0,
163,17575,0,0,0,0,0,0,0,8.0,
9886,21645,0,0,0,0,0,0,0,3.0,
2157,2344,0,0,0,0,0,0,0,2.0,
1472,2776,0,0,1477,31051,1,2107,21,1652285.0,
2125,8551,0,0,0,0,0,0,0,13.0,
2029,9448,0,0,0,0,0,0,0,20.0,
2657,4962,0,0,1032,28162,1,4048,1,1633051.0,
22547,22782,0,0,0,0,0,0,0,4.0,
86,1527,0,0,774,24997,1,2751,3,1705982.0,
11707,18138,0,0,1501,31153,1,2221,13,1566678.0,
9455,16705,0,0,0,0,0,0,0,8.0,
8918,36208,0,0,0,0,0,0,0,8.0,
167,3779,0,0,1266,29967,1,1524,1,1490769.0,
100,3181,0,0,807,25389,1,6337,11,1424670.0,
1967,4974,0,0,1604,32643,1,2549,1,1229088.0,
22310,37104,0,0,7,5,1,7,7,961.0,
1269,3237,0,0,2,156,1,43,1,1012694.0,
