dataset,s,r,tree_build_ms,prog_time_ms,num_leaves,clique_index_ms,max_rss_kb,exit_status,cmd,timestamp
/data1/wenqianz/com-youtube.edges,2,11,22224.0,833.0,60952.0,,1261244.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 11,2025-09-01 16:12:02
/data1/wenqianz/com-youtube.edges,2,12,22993.6,552.0,22045.0,,876564.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 12,2025-09-01 16:12:28
/data1/wenqianz/com-youtube.edges,2,13,22541.8,435.0,6911.0,,798864.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 13,2025-09-01 16:12:53
/data1/wenqianz/com-youtube.edges,2,14,21905.0,400.0,1703.0,,796452.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 14,2025-09-01 16:13:19
/data1/wenqianz/com-youtube.edges,2,15,23027.2,384.0,303.0,,725516.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 15,2025-09-01 16:13:43
/data1/wenqianz/com-youtube.edges,2,16,22578.8,383.0,50.0,,725212.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 16,2025-09-01 16:14:08
/data1/wenqianz/com-youtube.edges,2,17,22793.7,391.0,2.0,,725184.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 17,2025-09-01 16:14:33
/data1/wenqianz/com-youtube.edges,2,18,24636.3,385.0,0.0,,725168.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 18,2025-09-01 16:14:59
/data1/wenqianz/com-youtube.edges,2,19,23732.9,351.0,0.0,,725188.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 19,2025-09-01 16:15:26
/data1/wenqianz/com-youtube.edges,2,20,22789.2,378.0,0.0,,725092.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 20,2025-09-01 16:15:52
/data1/wenqianz/com-youtube.edges,2,21,22688.4,360.0,0.0,,725236.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 21,2025-09-01 16:16:18
/data1/wenqianz/com-youtube.edges,2,22,23470.7,348.0,0.0,,725164.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 22,2025-09-01 16:16:42
/data1/wenqianz/com-youtube.edges,2,23,24694.9,405.0,0.0,,725236.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 23,2025-09-01 16:17:09
/data1/wenqianz/com-youtube.edges,2,24,25450.2,497.0,0.0,,725188.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 24,2025-09-01 16:17:36
/data1/wenqianz/com-youtube.edges,2,25,26226.8,443.0,0.0,,725196.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 25,2025-09-01 16:18:04
/data1/wenqianz/com-youtube.edges,2,26,25175.2,385.0,0.0,,725224.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 26,2025-09-01 16:18:33
/data1/wenqianz/com-youtube.edges,2,27,26200.4,444.0,0.0,,725212.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 27,2025-09-01 16:19:01
/data1/wenqianz/com-youtube.edges,2,28,24786.9,386.0,0.0,,725196.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 28,2025-09-01 16:19:30
/data1/wenqianz/com-youtube.edges,2,29,27420.5,634.0,0.0,,725232.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 29,2025-09-01 16:19:58
/data1/wenqianz/com-youtube.edges,2,30,28110.8,439.0,0.0,,725196.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 2 30,2025-09-01 16:20:28
/data1/wenqianz/com-youtube.edges,3,4,25667.5,31838.0,2555040.0,572.546,2133088.0,0.0,./build/bin/degeneracy_cliques /data1/wenqianz/com-youtube.edges 3 4,2025-09-01 16:20:59
