graph,r,s,algo,status,wall_ms,total_ms,step4_ms,peel_ms,hier_ms,mem_kB
com-dblp,14,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,15,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,15,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,14,16,V3,OOM,,,,,,
com-dblp,13,16,V3_NP,OOM,,,,,,
com-dblp,13,16,V3,OOM,,,,,,
com-dblp,8,17,V3,OK,1597248.0,1592298.0,,1523164.0,,7610504
com-dblp,12,16,V3_NP,OOM,,,,,,
com-dblp,9,17,V3_NP,TIMEOUT,,,,,,
com-dblp,7,17,V3,TIMEOUT,,,,,,
com-dblp,7,17,V3_NP,TIMEOUT,,,,,,
com-dblp,8,17,V3_NP,TIMEOUT,,,,,,
com-dblp,9,17,V3,TIMEOUT,,,,,,
com-dblp,4,17,V3_NP,TIMEOUT,,,,,,
com-dblp,5,17,V3_NP,TIMEOUT,,,,,,
com-dblp,6,17,V3_NP,TIMEOUT,,,,,,
com-dblp,4,17,ST,TIMEOUT,,,,,,
com-dblp,3,17,V3_NP,TIMEOUT,,,,,,
com-dblp,4,17,REF,TIMEOUT,,,,,,
com-dblp,10,16,V3,TIMEOUT,,,,,,
com-dblp,11,16,V3,TIMEOUT,,,,,,
com-dblp,10,16,V3_NP,TIMEOUT,,,,,,
com-dblp,12,16,V3,TIMEOUT,,,,,,
com-dblp,11,16,V3_NP,TIMEOUT,,,,,,
com-dblp,16,17,REF,SKIP_TIMEOUT,,,,,,
com-dblp,16,17,ST,SKIP_TIMEOUT,,,,,,
com-dblp,4,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,4,18,ST,SKIP_TIMEOUT,,,,,,
com-dblp,5,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,5,18,ST,SKIP_TIMEOUT,,,,,,
com-dblp,6,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,6,18,ST,SKIP_TIMEOUT,,,,,,
com-dblp,4,18,V3,OK,5045.1,3523.0,,3318.0,,126324
com-dblp,7,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,7,18,ST,SKIP_TIMEOUT,,,,,,
com-dblp,8,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,8,18,ST,SKIP_TIMEOUT,,,,,,
com-dblp,9,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,9,18,ST,SKIP_TIMEOUT,,,,,,
com-dblp,10,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,10,18,ST,SKIP_TIMEOUT,,,,,,
com-dblp,11,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,11,18,ST,SKIP_TIMEOUT,,,,,,
com-dblp,3,18,V3,OK,62437.0,59324.0,,59280.0,,67580
com-dblp,12,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,12,18,ST,SKIP_TIMEOUT,,,,,,
com-dblp,6,18,V3,OK,238430.8,235645.0,,229154.0,,1212080
com-dblp,5,18,V3,OK,324820.4,321778.0,,320548.0,,412356
com-dblp,15,17,V3_NP,OOM,,,,,,
com-dblp,13,18,REF,SKIP_TIMEOUT,,,,,,
com-dblp,13,18,ST,SKIP_TIMEOUT,,,,,,
