graph,s,algo,status,wall_ms,total_ms,build_ms,peel_ms,hier_ms,mem_kB
web-Google,11,REF_R1_HIER,OK,111622.5,105435.0,2804.4,-1.0,4073.4,6273756
twitter_combined,5,REF_R1_HIER,OK,159246.5,104873.0,48218.0,-1.0,13539.6,13502348
twitter_combined,7,REF_R1,OK,165441.8,49474.2,110651.0,-1.0,-1.0,18684788
com-youtube,7,REF_R1_HIER,OK,171330.7,162200.0,3871.7,-1.0,4797.7,11397732
web-Google,9,REF_R1_HIER,OK,166593.3,159053.0,3025.8,-1.0,7653.8,9501200
web-it-2004,3,REF_R1_HIER,OOM_KILL_NEWEST,94184.5,-1.0,-1.0,-1.0,-1.0,-1
web-it-2004,3,REF_R1,OOM_KILL_NEWEST,94327.1,-1.0,-1.0,-1.0,-1.0,-1
wiki-Talk,15,REF_R1_HIER,OOM_KILL_NEWEST,103858.2,-1.0,-1.0,-1.0,-1.0,-1
wiki-Talk,15,REF_R1,OOM_KILL_NEWEST,107302.1,-1.0,-1.0,-1.0,-1.0,-1
wiki-Talk,13,REF_R1_HIER,OOM_KILL_NEWEST,114233.5,-1.0,-1.0,-1.0,-1.0,-1
wiki-Talk,13,REF_R1,OOM_KILL_NEWEST,120924.6,-1.0,-1.0,-1.0,-1.0,-1
com-youtube,5,REF_R1_HIER,OK,215726.3,208184.0,4214.6,-1.0,6103.4,14826640
web-Google,5,REF_R1_HIER,OK,205192.0,194887.0,3736.2,-1.0,12793.4,12479920
wiki-Talk,11,REF_R1_HIER,OOM_KILL_NEWEST,140125.5,-1.0,-1.0,-1.0,-1.0,-1
wiki-Talk,11,REF_R1,OOM_KILL_NEWEST,149928.0,-1.0,-1.0,-1.0,-1.0,-1
wiki-Talk,9,REF_R1_HIER,OOM_KILL_NEWEST,162849.0,-1.0,-1.0,-1.0,-1.0,-1
wiki-Talk,9,REF_R1,OOM_KILL_NEWEST,175925.2,-1.0,-1.0,-1.0,-1.0,-1
web-Google,7,REF_R1_HIER,OK,213998.3,206381.0,3361.8,-1.0,12503.4,12656424
twitter_combined,15,REF_R1,OK,248240.9,64513.5,178059.0,-1.0,-1.0,28175820
twitter_combined,9,REF_R1,OK,254911.4,81123.0,164469.0,-1.0,-1.0,27161136
twitter_combined,13,REF_R1,OK,254482.8,68252.7,181701.0,-1.0,-1.0,29203456
twitter_combined,11,REF_R1,OK,257714.5,68929.0,183226.0,-1.0,-1.0,29759984
twitter_combined,7,REF_R1_HIER,OK,270102.1,155220.0,109962.0,-1.0,22046.5,26792260
wiki-Talk,5,REF_R1,OK,234438.9,66137.0,158735.0,-1.0,-1.0,19617700
twitter_combined,15,REF_R1_HIER,OK,302810.0,121539.0,177318.0,-1.0,14372.0,32461432
twitter_combined,13,REF_R1_HIER,OK,329975.8,141218.0,183760.0,-1.0,16728.2,34649712
soc-pokec-relationships,13,REF_R1,OK,36786.9,538.5,18539.2,-1.0,-1.0,738916
soc-pokec-relationships,15,REF_R1,OK,36570.9,378.8,17672.3,-1.0,-1.0,707872
soc-pokec-relationships,9,REF_R1,OK,40454.1,1678.0,20022.5,-1.0,-1.0,1001000
soc-pokec-relationships,11,REF_R1,OK,40238.9,852.0,19285.1,-1.0,-1.0,811372
twitter_combined,9,REF_R1_HIER,OK,346185.0,171475.0,171069.0,-1.0,22589.8,34935000
twitter_combined,11,REF_R1_HIER,OK,349393.6,159772.0,185255.0,-1.0,19957.5,36440192
soc-pokec-relationships,7,REF_R1,OK,44528.9,3778.4,22262.8,-1.0,-1.0,1565412
