graph,s,algo,phase,n_runs,time_ms,rss_kb,delta_rss_kb,component_bytes
web-it-2004,10,ours,buildSDCT,3,124472.000,366576,224268,6600312
web-it-2004,10,ours,preMutation,3,0.907,366576,0,0
web-it-2004,10,ours,prepareGraph,3,86.854,356832,-9744,0
web-it-2004,10,ours,dispatch_total,3,274.297,364212,7380,0
web-it-2004,10,ref,loadAndSort,3,3419.430,142172,140064,0
web-it-2004,10,ref,buildSDCT,3,127613.000,394144,251972,6600312
web-it-2004,10,ref,preMutation,3,0.665,394144,0,0
web-it-2004,10,ref,prepareGraph,3,86.862,384764,-9380,0
web-it-2004,10,ref,REF_initSupports,3,29.668,384764,0,4074712
web-it-2004,10,ref,REF_heapBuild,3,35.768,407200,22436,24161932
web-it-2004,10,ref,REF_peel_loop,3,390.196,487192,79992,0
web-it-2004,10,ref,dispatch_total,3,50.403,487192,0,0
web-it-2004,30,ours,loadAndSort,3,3371.520,142168,139996,0
web-it-2004,30,ours,buildSDCT,3,122558.000,218448,76280,564672
web-it-2004,30,ours,preMutation,3,0.727,218448,0,0
web-it-2004,30,ours,prepareGraph,3,78.841,204872,-13576,0
web-it-2004,30,ours,dispatch_total,3,63.935,236080,31208,0
web-it-2004,30,ref,loadAndSort,3,3037.480,142192,140052,0
web-it-2004,30,ref,buildSDCT,3,122658.000,246324,104132,564672
web-it-2004,30,ref,preMutation,3,0.555,246324,0,0
web-it-2004,30,ref,prepareGraph,3,82.449,232816,-13508,0
web-it-2004,30,ref,REF_initSupports,3,10.974,232816,0,4074712
web-it-2004,30,ref,REF_heapBuild,3,19.536,246804,13988,15108472
web-it-2004,30,ref,REF_peel_loop,3,173.709,322308,75504,0
web-it-2004,30,ref,dispatch_total,3,6.808,246936,-75372,0
web-it-2004,100,ours,loadAndSort,3,3407.340,142236,140048,0
web-it-2004,100,ours,buildSDCT,3,121891.000,199176,56940,261000
web-it-2004,100,ours,preMutation,3,0.308,199176,0,0
web-it-2004,100,ours,prepareGraph,3,82.757,185600,-13576,0
web-it-2004,100,ours,dispatch_total,3,40.133,211788,26192,0
web-it-2004,100,ref,loadAndSort,3,3377.370,142216,140072,0
web-it-2004,100,ref,buildSDCT,3,121347.000,226812,84596,261000
web-it-2004,100,ref,preMutation,3,0.347,226812,0,0
web-it-2004,100,ref,prepareGraph,3,82.114,213500,-13316,0
web-it-2004,100,ref,REF_initSupports,3,8.250,213500,0,4074712
web-it-2004,100,ref,REF_heapBuild,3,16.445,227264,13724,14652964
web-it-2004,100,ref,REF_peel_loop,3,135.848,302992,75768,0
web-it-2004,100,ref,dispatch_total,3,4.889,227616,-75376,0
web-it-2004,200,ours,loadAndSort,3,3416.210,142200,140064,0
